"twitter","id_str","screen_name","twitter_name","description","followers_count","statuses_count","friends_count","created_at","location","id","bioid","name","gender","type","party","facebook","youtube"
"joebiden","939091","JoeBiden","Joe Biden","This account is run by @TheDemocrats staff. Tweets from the Vice President are signed -Joe.",1113451,1086,7,"Sun Mar 11 17:51:24 +0000 2007","Washington, D.C.",NA,NA,NA,NA,"Other Politicians",NA,NA,NA
"johnboozman","5558312","JohnBoozman","Senator John Boozman","Representing Arkansas in the U.S. Senate.  Contact Info: 202-224-4843",29681,2371,619,"Fri Apr 27 16:05:52 +0000 2007","Arkansas","01687","B001236","John Boozman","M","Congress","Republican","JohnBoozman","BoozmanPressOffice"
"johncarneyde","237770636","JohnCarneyDE","Rep. John Carney","Official Twitter page for U.S. Representative John Carney (D-DE). http://t.co/tdz4voj10e",10471,1554,1102,"Thu Jan 13 15:58:13 +0000 2011","Delaware and Washington, D.C.","01999","C001083","John C. Carney Jr.","M","Congress","Democrat","JohnCarneyDE","RepJohnCarney"
"johncornyn","13218102","JohnCornyn","JohnCornyn","Honored to represent the great state of Texas in the US Senate.",77059,20359,10522,"Thu Feb 07 19:52:55 +0000 2008","Austin, Texas","01692","C001056","John Cornyn","M","Congress","Republican","sen.johncornyn","senjohncornyn"
"johnkasick","3406504953","JohnKasick","John Kasick","",107,58,0,"Fri Aug 07 02:38:10 +0000 2015","",NA,NA,NA,NA,"Primary Candidate","Republican",NA,NA
"judgecarter","18030431","JudgeCarter","JudgeCarter","I'm a U.S. Congressman in the 31st District Texas, Chairman of the Homeland Security Appropriations Subcommittee and a former Texas Judge.",11643,4852,2991,"Wed Dec 10 21:00:58 +0000 2008","Washington, DC Round Rock, TX","01752","C001051","John R. Carter","M","Congress","Republican","judgecarter","repjohncarter"
"judgetedpoe","74198348","JudgeTedPoe","Ted Poe","Member of Congress, representing the second district of the great state of Texas",16862,3504,615,"Mon Sep 14 16:40:24 +0000 2009","Humble, Texas","01802","P000592","Ted Poe","M","Congress","Republican","106631626049851","CongressmanTedPoe"
"karlrove","18791763","KarlRove","Karl Rove","Former Deputy Chief of Staff to President George W. Bush, Author of NYT bestseller, Courage & Consequence, and new book, The Triumph of William McKinley",650133,8365,143644,"Fri Jan 09 04:12:46 +0000 2009","Washington, D.C.",NA,NA,NA,NA,"Other Politicians",NA,NA,NA
"keithellison","14135426","keithellison","Rep. Keith Ellison","Member of Congress from Minnesota's Fifth District. Co-Chair, @USProgressives. Host of We The Podcast. Subscribe here: https://t.co/NSnxwreA3H",85385,14356,5254,"Wed Mar 12 21:38:12 +0000 2008","Minneapolis — Washington, D.C.","01857","E000288","Keith Ellison","M","Congress","Democrat","Keith.Ellison","RepKeithEllison"
"keithrothfus","1155212191","KeithRothfus","Keith Rothfus","Thank you for visiting my official Twitter account. I proudly represent and serve Pennsylvania's Twelfth Congressional District.",3636,3542,493,"Wed Feb 06 21:51:36 +0000 2013","","02158","R000598","Keith J. Rothfus","M","Congress","Republican","keithrothfus","reprothfus"
"kencalvert","22545491","KenCalvert","Ken Calvert","Official Twitter Account for U.S. Representative Ken Calvert (CA-42)",6487,3330,247,"Mon Mar 02 22:30:20 +0000 2009","Corona, CA ","00165","C000059","Ken Calvert","M","Congress","Republican","70063393423","RepKenCalvert"
"lamarsmithtx21","15856366","LamarSmithTX21","Lamar Smith","I represent the 21st District of TX in Congress and Chair the Science, Space, and Technology Committee. Join me: https://t.co/mIljMWAOmi",15505,2008,3684,"Thu Aug 14 21:53:40 +0000 2008","TX21","01075","S000583","Lamar Smith","M","Congress","Republican","LamarSmithTX21","lamarsmithtexas21"
"limbaugh","22047070","limbaugh","Rush Limbaugh","The Genuine Twitter feed of Rush Limbaugh. The Rush Limbaugh Show is America's most listened to radio talk show, broadcast on over 600 radio stations.",309367,70,0,"Thu Feb 26 19:10:19 +0000 2009","The EIB Network",NA,NA,NA,NA,"Journalists",NA,NA,NA
"lisamurkowski","18061669","lisamurkowski","Sen. Lisa Murkowski","Official Twitter account for U.S. Senator Lisa Murkowski. Follow me for news and updates on what's happening in the Senate and across Alaska.",37262,3925,492,"Thu Dec 11 21:55:19 +0000 2008","Alaska & Washington, D.C.","01694","M001153","Lisa Murkowski","F","Congress","Republican","SenLisaMurkowski","senatormurkowski"
"lorettasanchez","108376246","LorettaSanchez","Loretta Sanchez","I proudly represent California's 46th district in Congress. I serve as a Senior Member on both the Armed Services and Homeland Security Committees.",18583,2748,12037,"Mon Jan 25 19:08:10 +0000 2010","Orange County, CA","01522","S000030","Loretta Sanchez","F","Congress","Democrat","LorettaSanchez","LorettaSanchezLive"
"louiseslaughter","63169388","louiseslaughter","Louise Slaughter","Honored to serve the people of Rochester and Monroe County, NY. Only microbiologist in Congress and Ranking Member of the House Committee on Rules.",13213,2335,1444,"Wed Aug 05 15:53:07 +0000 2009","NY-25","01069","S000480","Louise McIntosh Slaughter","F","Congress","Democrat","RepLouiseSlaughter","louiseslaughter"
"luisgutierrez","322013313","LuisGutierrez","Luis V. Gutierrez","Political account of Luis V. Gutierrez, Member of Congress from Illinois, immigration reform leader in the House, and author of Still Dreaming.",783,30,68,"Wed Jun 22 14:11:23 +0000 2011","","00478","G000535","Luis V. Gutiérrez","M","Congress","Democrat","RepGutierrez","repluisgutierrez"
"mactxpress","377534571","MacTXPress","Mac Thornberry Press","Tweets from the press shop of US Rep. Mac Thornberry. Mac serves the 13th District of TX, which spans from Amarillo to Wichita Falls & is larger than 13 states.",5774,826,938,"Wed Sep 21 18:42:06 +0000 2011","United States Capitol","01155","T000238","Mac Thornberry","M","Congress","Republican","repmacthornberry","RepMacThornberry"
"maddow","16129920","maddow","Rachel Maddow MSNBC","I see political people...
(Retweets do not imply endorsement.)",4746630,4173,2349,"Thu Sep 04 15:02:12 +0000 2008","New York, NY USA",NA,NA,NA,NA,"Journalists",NA,NA,NA
"marcorubio","15745368","marcorubio","Marco Rubio","US Senator for Florida. Follow @SenRubioPress for more updates.",1482161,5641,2469,"Wed Aug 06 03:07:06 +0000 2008","United States",NA,NA,NA,NA,"Primary Candidate","Republican",NA,NA
"mariodb","37094727","MarioDB","Mario Diaz-Balart","I am proud to represent Florida's 25th Congressional District and serve on @HouseAppropsGOP as Transportation, Housing + Urban Development Subcommittee Chair",21778,3602,159,"Sat May 02 00:52:48 +0000 2009","Florida & Washington, DC","01717","D000600","Mario Diaz-Balart","M","Congress","Republican","mdiazbalart","MarioDiazBalart"
"markamodeinv2","402719755","MarkAmodeiNV2","RepMarkAmodei","Proudly representing Nevada's 2nd District",6975,1060,1771,"Tue Nov 01 13:43:55 +0000 2011","Carson City, NV","02090","A000369","Mark E. Amodei","M","Congress","Republican","MarkAmodeiNV2","markamodeinv2"
"markwarner","7429102","MarkWarner","Mark Warner","Updates from the U.S. Senator from Virginia and Staff. Following/retweeting does not equal an endorsement.",63125,4834,11088,"Thu Jul 12 14:03:33 +0000 2007","Virginia","01897","W000805","Mark R. Warner","M","Congress","Democrat","MarkRWarner","SenatorMarkWarner"
"marshablackburn","278145569","MarshaBlackburn","Marsha Blackburn","I am honored to serve the people of Tennessee's 7th District.",23035,4753,2422,"Wed Apr 06 18:05:33 +0000 2011","Brentwood, TN","01748","B001243","Marsha Blackburn","F","Congress","Republican","marshablackburn","RepMarshaBlackburn"
"martinheinrich","1099199839","MartinHeinrich","Martin Heinrich","United States Senator from New Mexico",11635,2360,325,"Thu Jan 17 20:24:19 +0000 2013","","01937","H001046","Martin Heinrich","M","Congress","Democrat","MartinHeinrich","SenMartinHeinrich"
"maxinewaters","36686040","MaxineWaters","Maxine Waters","Proudly serving the people of California's 43rd District in Congress. Ranking Member of the House Financial Services Committee (@FSCDems).",33529,1667,586,"Thu Apr 30 15:17:45 +0000 2009","Los Angeles/Washington, D.C.","01205","W000187","Maxine Waters","F","Congress","Democrat","MaxineWaters","MaxineWaters"
"maziehirono","92186819","maziehirono","Senator Mazie Hirono","U.S. Senator Mazie K. Hirono - Proudly Serving the People of Hawaii",17989,3991,1201,"Tue Nov 24 03:10:37 +0000 2009","Hawaii","01844","H001042","Mazie K. Hirono","F","Congress","Democrat","senatorhirono","CongresswomanHirono"
"mccaskilloffice","57065141","McCaskillOffice","McCaskill Office","Office of U.S. Senator Claire McCaskill. Staff updates on Claire's work for Missouri. Follow Claire herself @Clairecmc.",7674,4665,1518,"Wed Jul 15 16:40:06 +0000 2009","Missouri","01820","M001170","Claire McCaskill","F","Congress","Democrat","senatormccaskill","SenatorMcCaskill"
"mcconnellpress","339822881","McConnellPress","Sen. McConnell Press","The Kentucky press office for Senator Mitch McConnell. For more information please visit his website:",65241,8229,287,"Thu Jul 21 18:25:30 +0000 2011","","01395","M000355","Mitch McConnell","M","Congress","Republican","mitchmcconnell",NA
"megynkelly","110445334","megynkelly","Megyn Kelly","Happily married to Doug, crazy in love with my children Yates, Yardley, and Thatcher, and anchor of The Kelly File on Fox News Channel",1888491,10521,1237,"Mon Feb 01 15:36:12 +0000 2010","",NA,NA,NA,NA,"Journalists",NA,NA,NA
"mharrisperry","18587457","MHarrisPerry","Melissa Harris-Perry","@WakeForest Prof, Director @AJCCenter, Executive Director @phiwfu, Director @WakeTheVote Editor-at-Large for https://t.co/tVxY3nb561 Special Correspondent for @BETNews",567332,24863,845,"Sat Jan 03 21:28:51 +0000 2009"," Winston-Salem, NC, NYC",NA,NA,NA,NA,"Journalists",NA,NA,NA
"michaelcburgess","15751083","michaelcburgess","Michael Burgess, MD","Congressman for Texas' 26th District, M.D. (Ob/Gyn) in my former life",17253,4299,1557,"Wed Aug 06 15:25:19 +0000 2008","Washington, DC/Lake Dallas, TX","01751","B001248","Michael C. Burgess","M","Congress","Republican","michaelcburgess","michaelcburgessmd"
"mikecrapo","600463589","MikeCrapo","Senator Mike Crapo","United States Senator for the great state of Idaho.",18695,4406,509,"Tue Jun 05 22:16:35 +0000 2012","Idaho & Washington, D.C.","00250","C000880","Mike Crapo","M","Congress","Republican","mikecrapo","senatorcrapo"
"mikekellypa","935368364","MikeKellyPA","Rep. Mike Kelly","Representative Mike Kelly proudly and humbly serves the people of Pennsylvania's Third District (#PA03) and currently sits on the House Ways & Means Committee.",6292,1498,812,"Thu Nov 08 20:31:21 +0000 2012","Washington, DC","02051","K000376","Mike Kelly","M","Congress","Republican","191056827594903","repmikekelly"
"mittromnney","873665924","MittRomnney","Mitt Romney","Politician, republican, America-lover, family man, mormon, capitalist, not necessarily in that order.",10,7,32,"Thu Oct 11 13:53:31 +0000 2012","",NA,NA,NA,NA,"Other Politicians",NA,NA,NA
"motherjones","18510860","MotherJones","Mother Jones","Investigative journalism, politics, chart-tastic, sometimes sarcastic.",615046,142323,0,"Wed Dec 31 17:21:13 +0000 2008","",NA,NA,NA,NA,"Media Outlets",NA,NA,NA
"msnbc","2836421","MSNBC","MSNBC","The place for in-depth analysis, political commentary and informed perspectives. Questions? Tweet to @Farrashley @NishaChittal. Find us on Snapchat: msnbc",1100561,102735,764,"Thu Mar 29 13:15:41 +0000 2007","",NA,NA,NA,NA,"Media Outlets",NA,NA,NA
"nancypelosi","15764644","NancyPelosi","Nancy Pelosi","Democratic Leader, focused on strengthening America's middle class and creating jobs; mother, grandmother, dark chocolate connoisseur.",824202,4111,326,"Thu Aug 07 15:35:02 +0000 2008","San Francisco","00905","P000197","Nancy Pelosi","F","Congress","Democrat","NancyPelosi","nancypelosi"
"nbcnews","14173315","NBCNews","NBC News","A leading source of global news and information for more than 75 years. 
 
Facebook: https://t.co/oeDi7xACU7 

Snapchat: https://t.co/suOkoNb0KE",3697609,86300,2921,"Tue Mar 18 23:19:17 +0000 2008","New York, NY",NA,NA,NA,NA,"Media Outlets",NA,NA,NA
"newshour","14437914","NewsHour","PBS NewsHour","PBS NewsHour is one of the most trusted news programs on TV and online. Follow us on Facebook: http://t.co/Qss5G8uYIy",808889,91716,129620,"Fri Apr 18 21:57:17 +0000 2008","Arlington, VA | New York, NY ",NA,NA,NA,NA,"Media Outlets",NA,NA,NA
"newtgingrich","20713061","newtgingrich","Newt Gingrich","Husband, father, grandfather, citizen, small businessman, author, former Speaker of the House.",1609234,8725,870,"Thu Feb 12 20:18:08 +0000 2009","",NA,NA,NA,NA,"Other Politicians",NA,NA,NA
"newyorker","14677919","NewYorker","The New Yorker","The New Yorker is a weekly magazine with a mix of reporting on politics and culture, humor and cartoons, fiction and poetry, and reviews and criticism.",6531436,40661,379,"Tue May 06 19:36:33 +0000 2008","New York, NY",NA,NA,NA,NA,"Media Outlets",NA,NA,NA
"nikiinthehouse","242892689","nikiinthehouse","Niki Tsongas","Proudly representing the families of the Massachusetts 3rd District.

More info at: http://t.co/mp6QlRchln",11307,4771,1501,"Tue Jan 25 20:57:25 +0000 2011","","01884","T000465","Niki Tsongas","F","Congress","Democrat","RepTsongas","RepTsongas"
"nitalowey","221792092","NitaLowey","Nita Lowey","Proudly representing NY's 17th District. RM on House Approps Committee (@AppropsDems). RTs/follows ≠ endorsements. Newsletter sign-up: https://t.co/JSmr63CIAQ",12384,1717,833,"Wed Dec 01 16:36:35 +0000 2010","New York and Washington, D.C.","00709","L000480","Nita M. Lowey","F","Congress","Democrat","RepLowey","nitalowey"
"normajtorres","236279233","NormaJTorres","Rep. Norma Torres","U.S. Representative for California's 35th District",4266,3537,666,"Mon Jan 10 06:30:14 +0000 2011","","02231","T000474","Norma J. Torres","F","Congress","Democrat","RepNormaTorres",NA
"nprnews","3386439610","nprnews","NPR","We changed our username to @NPR. Follow us over there!",1667,1,2,"Tue Jul 21 21:26:04 +0000 2015","",NA,NA,NA,NA,"Media Outlets",NA,NA,NA
"nra","21829541","NRA","NRA","National Rifle Association of America #NRA",381472,10355,505,"Wed Feb 25 03:07:33 +0000 2009","Fairfax, VA",NA,NA,NA,NA,"Interest groups",NA,NA,NA
"nydiavelazquez","164369297","NydiaVelazquez","Rep. Nydia Velazquez","Represents New York's 7th Congressional District in the U.S. House of Representatives.  Top Democrat on House Small Business Committee.",10702,623,3097,"Thu Jul 08 18:18:20 +0000 2010","NYC and DC","01184","V000081","Nydia M. Velázquez","F","Congress","Democrat","8037068318","nydiavelazquez"
"nytimes","807095","nytimes","The New York Times","Where the conversation begins. Follow for breaking news, special reports, RTs of our journalists and more from https://t.co/YapuoqX0HS.",28963887,241006,964,"Fri Mar 02 20:41:42 +0000 2007","New York City",NA,NA,NA,NA,"Media Outlets",NA,NA,NA
"occupywallst","335369838","OccupyWallSt","Occupy Wall Street","We sparked a global uprising when we annexed Zuccotti Park in 2011. Because we fight for the people. We nominate @BernieSanders. #DemsInPhilly #DNCPhilly",214300,37224,1887,"Thu Jul 14 15:44:37 +0000 2011","Zuccotti Park, NYC",NA,NA,NA,NA,"Interest groups",NA,NA,NA
"oreillyfactor","23970102","oreillyfactor","Bill O'Reilly","Host of The O'Reilly Factor on the Fox News Channel. Tweets from Bill are signed -BO'R.",1125240,10017,48,"Thu Mar 12 15:44:18 +0000 2009","New York, NY, USA",NA,NA,NA,NA,"Journalists",NA,NA,NA
"patrickmchenry","27676828","PatrickMcHenry","Patrick McHenry","I represent the citizens of North Carolina’s 10th District in the United States Congress.",17093,3594,3856,"Mon Mar 30 16:42:39 +0000 2009","Denver, NC","01792","M001156","Patrick T. McHenry","M","Congress","Republican","CongressmanMcHenry","CongressmanMcHenry"
"pattymurray","293131808","PattyMurray","Senator Patty Murray","Official account of U.S. Senator Patty Murray (D-WA) | Tweets come from staff unless signed “-PM” by Senator Murray | RT≠endorsement",48020,9264,2173,"Wed May 04 20:23:35 +0000 2011","WA & DC","01409","M001111","Patty Murray","F","Congress","Democrat",NA,"SenatorPattyMurray"
"pedropierluisi","34972633","pedropierluisi","Pedro Pierluisi","I take my responsibility of serving the 3.6 million U.S. citizens of Puerto Rico very seriously and I represent them in Congress with pride.",47250,7675,10402,"Fri Apr 24 16:43:30 +0000 2009","Washington D.C. / San Juan","01953","P000596","Pedro R. Pierluisi","M","Congress","Democrat","pedropierluisi","PierluisiCongress"
"peterroskam","20015903","PeterRoskam","Peter Roskam","Husband, Father, and U.S. Congressman for the 6th District of Illinois. Chair of @WaysandMeansGOP Oversight Subcommittee and member of @HouseBenghazi Committee.",18263,6161,4568,"Wed Feb 04 00:11:56 +0000 2009","Wheaton, IL","01848","R000580","Peter J. Roskam","M","Congress","Republican","RepRoskam","RoskamIL06"
